,Country,Region,Year,Water Source Type,Water Treatment Method,Contaminant Level (ppm),pH Level,Turbidity (NTU),Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Lead Concentration (µg/L),Bacteria Count (CFU/mL),Access to Clean Water (% of Population),"Diarrheal Cases per 100,000 people"
261,India,Central,2015,River,Filtration,2.78,6.39,2.09,9.76,41.8,6.88,93,44.04,57
262,Bangladesh,Central,2006,Tap,Chlorination,3.99,7.71,0.19,7.21,40.68,15.03,342,92.58,210
263,China,East,2008,Well,Boiling,1.7,6.05,2.17,8.69,3.57,19.21,2408,99.99,137
264,Pakistan,Central,2013,Well,Boiling,7.62,6.29,3.37,7.55,4.35,8.62,1854,68.52,10
265,Brazil,East,2010,River,Boiling,7.73,8.11,2.11,6.99,32.99,7.31,3999,73.38,390
266,USA,North,2013,Lake,Filtration,8.75,8.11,4.36,7.93,12.96,8.92,1089,85.82,332
267,Brazil,North,2006,Spring,Filtration,0.27,6.82,1.66,5.24,32.88,8.56,623,78.73,488
268,USA,North,2000,River,Chlorination,5.62,6.22,0.66,9.47,7.23,12.52,867,42.77,363
269,Nigeria,South,2024,Well,Chlorination,2.14,7.76,4.06,3.81,19.85,14.68,2476,58.82,188
270,Brazil,South,2012,Well,,3.41,6.9,3.37,5.23,5.12,15.7,3472,67.46,449
271,Indonesia,West,2019,River,Filtration,7.85,6.11,1.21,3.22,14.1,12.99,170,55.18,93
272,Indonesia,West,2002,Lake,Chlorination,1.92,6.39,2.68,4.9,4.41,8.75,1782,42.33,341
273,Mexico,West,2019,Spring,Boiling,6.38,6.34,2.01,4.53,48.53,19.0,577,81.53,180
274,China,South,2003,Tap,Boiling,6.55,7.47,4.69,3.35,19.75,14.22,67,43.92,320
275,USA,South,2010,River,Boiling,9.54,8.25,3.04,6.44,45.06,8.53,1515,48.23,282
276,USA,West,2001,Spring,Chlorination,7.75,7.98,0.79,6.28,48.56,8.93,0,50.06,390
277,China,West,2013,Spring,Boiling,8.04,7.37,2.51,3.54,45.48,16.36,2198,41.32,320
278,Bangladesh,Central,2011,Pond,Boiling,5.32,7.06,4.31,4.83,22.75,8.81,901,89.47,57
279,Mexico,West,2016,Well,Filtration,1.87,7.55,3.36,9.67,38.94,10.33,4845,72.74,24
280,Bangladesh,Central,2011,Tap,Filtration,4.26,7.11,4.21,3.78,7.68,5.83,794,88.43,303
281,Bangladesh,East,2011,River,Chlorination,5.49,6.62,1.25,5.14,4.74,16.78,2066,64.56,259
282,Bangladesh,South,2000,Well,Filtration,6.78,7.7,4.44,3.25,43.85,10.45,1819,66.37,477
283,China,West,2012,Pond,,6.08,8.18,3.78,4.04,1.56,11.05,370,73.13,391
284,Bangladesh,South,2013,Pond,Chlorination,3.94,6.93,3.64,7.9,48.62,17.61,2538,55.96,496
285,Indonesia,South,2023,Well,,2.65,8.1,1.73,5.57,33.61,18.41,3907,64.76,212
286,India,South,2001,Lake,,1.68,7.08,4.44,6.16,20.98,16.48,2054,68.28,114
287,Nigeria,East,2011,Spring,Chlorination,6.94,7.0,3.19,4.1,7.07,1.31,2596,96.75,451
288,USA,North,2020,River,Filtration,6.45,6.07,4.26,7.77,36.16,8.87,4466,91.8,187
289,USA,West,2015,River,Filtration,6.87,7.74,1.8,8.26,28.16,6.87,1688,39.05,259
290,Nigeria,North,2003,River,Chlorination,3.73,8.02,0.73,4.27,35.56,4.27,4852,32.89,135
291,China,North,2007,Well,,2.62,7.66,1.66,3.31,20.9,18.18,3321,77.62,489
292,Brazil,North,2001,Lake,Chlorination,7.6,6.38,2.28,3.57,3.31,17.8,1138,33.44,89
293,China,South,2009,Tap,Chlorination,7.74,6.26,2.67,7.6,15.75,9.31,2621,34.22,220
294,USA,Central,2008,Pond,Boiling,4.56,7.43,2.55,3.95,15.75,2.69,2728,41.15,15
295,USA,South,2022,Well,Boiling,6.12,7.0,2.73,6.46,0.43,0.27,1165,54.62,146
296,Nigeria,South,2014,Tap,,3.74,7.07,4.21,4.07,0.48,8.77,1508,60.45,384
297,Bangladesh,North,2012,Pond,Filtration,7.02,8.42,0.85,4.19,16.54,0.8,3841,66.36,100
298,China,South,2022,Pond,Boiling,8.36,7.81,1.58,3.03,36.38,12.19,4558,99.46,417
299,Pakistan,North,2016,Lake,Boiling,6.88,7.03,4.44,5.25,31.2,12.17,4576,56.97,476
300,Nigeria,Central,2015,Spring,,5.13,6.05,2.8,3.63,11.95,17.98,4918,46.99,218
301,Indonesia,West,2001,River,Chlorination,4.59,6.09,2.92,5.76,30.14,3.8,523,70.27,367
302,USA,North,2019,Tap,Boiling,6.42,7.71,2.39,7.18,32.37,7.43,2258,45.06,44
303,Nigeria,Central,2019,Well,Filtration,6.8,8.09,2.74,5.57,26.13,17.19,4339,95.84,62
304,China,West,2013,Tap,,5.59,7.77,0.99,7.94,26.07,9.49,238,48.15,349
305,USA,East,2002,Spring,Boiling,6.25,7.01,2.73,8.19,18.49,1.19,1220,99.3,389
306,Brazil,North,2022,River,,0.97,6.08,4.99,7.88,6.17,2.22,768,59.31,291
307,Nigeria,North,2011,Tap,Boiling,9.52,8.42,2.83,9.56,19.27,16.27,234,86.89,376
308,Mexico,East,2007,Spring,Boiling,7.91,8.47,0.22,4.66,17.27,14.87,2760,75.38,358
309,USA,East,2001,Well,,3.74,7.37,3.98,4.33,29.6,17.52,4592,95.34,65
310,China,North,2003,Lake,Filtration,5.63,6.18,1.98,7.27,42.81,2.38,1519,73.78,118
311,India,East,2013,Pond,Filtration,0.47,7.35,0.77,7.16,18.77,15.21,1903,70.69,233
312,Pakistan,South,2015,Well,Chlorination,0.41,8.23,4.31,6.57,35.49,13.1,2234,75.7,461
313,Ethiopia,West,2018,River,Boiling,2.51,7.7,0.99,3.03,40.59,4.65,935,85.05,7
314,Bangladesh,West,2001,Pond,Chlorination,6.9,7.8,4.6,6.89,10.59,19.48,1268,92.92,194
315,Ethiopia,West,2011,Well,,8.52,6.21,2.21,9.53,45.08,11.41,818,48.68,226
316,China,South,2013,Well,Chlorination,5.59,6.27,3.71,5.34,3.52,18.14,3567,44.06,26
317,Indonesia,East,2005,Well,,5.32,6.32,2.73,9.77,45.09,17.18,4117,32.4,289
318,Indonesia,Central,2012,Well,Filtration,4.02,8.26,1.28,5.5,8.18,6.66,2115,55.91,27
319,India,East,2003,Pond,,1.62,7.31,3.36,3.98,16.86,10.72,2439,89.23,158
320,Bangladesh,North,2021,River,,1.18,7.98,4.79,5.79,30.26,8.63,3387,34.89,144
321,Mexico,West,2017,Spring,Chlorination,7.61,6.29,3.85,6.46,45.28,14.18,1088,67.7,466
322,India,East,2011,Tap,Boiling,9.28,8.32,3.02,7.41,12.79,11.76,1827,78.64,233
323,Ethiopia,Central,2019,Lake,Chlorination,4.58,8.05,4.95,6.53,38.18,15.7,4824,88.58,107
324,India,North,2021,Tap,Filtration,6.59,6.56,1.33,6.76,35.52,0.24,2588,70.84,378
325,Ethiopia,South,2020,Tap,Filtration,9.14,8.19,0.31,3.17,7.99,13.76,2615,43.04,438
326,USA,South,2018,Lake,Filtration,0.9,6.66,0.16,4.78,23.97,6.38,1873,97.52,202
327,Indonesia,Central,2007,Pond,Boiling,7.7,6.51,3.55,5.17,24.08,4.48,4307,36.63,264
328,USA,North,2006,River,Chlorination,6.17,6.66,4.15,9.91,15.23,16.02,1773,83.83,477
329,Pakistan,West,2015,Lake,,5.99,8.27,3.18,5.07,39.0,1.78,199,36.06,312
330,Bangladesh,East,2018,River,,2.93,8.29,4.53,9.28,46.3,4.57,177,40.04,300
331,Mexico,North,2005,Pond,Boiling,6.84,6.82,3.49,5.13,35.83,4.07,930,92.88,389
332,Ethiopia,South,2019,Tap,Filtration,7.95,7.76,1.85,3.67,48.65,8.4,3736,82.72,397
333,Mexico,Central,2020,River,Boiling,1.13,7.69,0.91,4.73,2.52,6.45,2036,55.59,414
334,Ethiopia,Central,2010,Pond,,5.34,8.02,4.62,4.91,1.86,14.41,1485,74.71,437
335,China,East,2004,Pond,Filtration,1.01,6.74,0.52,9.85,44.69,13.99,2091,62.01,10
336,India,Central,2015,Spring,Boiling,8.73,7.28,2.71,7.72,44.89,6.51,4263,34.66,324
337,Pakistan,Central,2006,Lake,,5.08,7.67,1.57,9.52,5.36,8.74,2384,80.48,94
338,Indonesia,North,2004,Spring,,8.08,6.07,1.36,8.84,17.87,4.16,4088,83.43,129
339,Ethiopia,West,2010,Tap,Boiling,3.68,6.94,3.23,7.05,41.77,13.42,4681,91.76,102
340,Mexico,East,2014,Lake,,1.25,7.74,1.16,7.73,6.43,7.92,1915,67.84,272
341,Pakistan,North,2002,Tap,Chlorination,0.41,6.63,4.58,7.37,13.37,2.66,15,77.12,485
342,Brazil,West,2004,Spring,Chlorination,2.82,8.39,2.03,7.66,34.05,2.55,2934,60.66,109
343,Brazil,North,2022,Pond,Filtration,2.44,6.08,3.39,4.85,49.09,6.45,836,52.32,291
344,USA,North,2020,Tap,Chlorination,5.6,8.4,3.64,5.86,39.86,14.95,2157,58.82,130
345,Indonesia,Central,2004,Lake,Chlorination,0.22,6.54,3.41,7.15,38.87,0.51,1576,93.82,190
346,China,West,2008,Lake,Boiling,5.21,6.12,4.52,3.25,17.13,5.16,305,41.49,298
347,Mexico,East,2014,Tap,Filtration,3.92,6.73,1.16,6.38,33.07,3.25,2053,47.39,92
348,India,East,2002,Lake,Boiling,5.77,7.97,0.43,9.02,5.65,19.13,2890,72.43,288
349,India,West,2005,Pond,Boiling,7.02,7.88,0.28,6.45,49.61,14.11,3344,38.14,205
350,Mexico,Central,2016,Pond,Chlorination,6.34,6.52,4.39,6.87,24.03,4.66,4456,92.43,357
351,Bangladesh,South,2020,Lake,Chlorination,9.85,6.49,4.87,4.41,31.94,4.15,1208,33.31,28
352,China,North,2007,Tap,,1.38,7.61,1.51,8.56,43.81,17.16,1858,82.87,406
353,Pakistan,Central,2020,Spring,,4.3,7.15,3.47,5.51,0.05,3.8,2703,56.16,186
354,Ethiopia,West,2024,Lake,Filtration,4.25,7.98,0.04,9.7,48.8,19.94,1971,33.58,336
355,Bangladesh,North,2010,Lake,Chlorination,4.17,6.06,0.94,9.96,17.96,5.65,1113,89.0,176
356,Ethiopia,East,2005,Lake,,6.64,7.53,3.45,9.41,16.98,1.69,983,74.83,438
357,Ethiopia,South,2007,Lake,Boiling,4.9,7.83,0.33,3.59,7.25,13.82,3310,30.62,330
358,Bangladesh,East,2009,Tap,Chlorination,5.17,8.48,2.34,5.33,42.91,12.19,4001,48.73,155
359,USA,West,2023,Spring,Filtration,4.32,7.7,3.31,9.62,43.54,20.0,2771,54.64,245
360,Brazil,North,2002,Spring,Filtration,9.92,6.58,3.83,8.63,1.0,16.04,3152,52.58,198
361,Ethiopia,West,2022,River,Boiling,9.28,6.27,2.27,9.38,2.79,8.58,2162,64.88,108
362,Bangladesh,North,2013,Lake,,3.08,7.6,3.15,7.01,45.92,13.53,2127,66.88,359
363,Bangladesh,Central,2022,Lake,Boiling,1.12,7.31,2.7,6.36,6.14,16.36,3639,57.77,71
364,Nigeria,South,2013,River,,8.4,8.25,0.26,3.75,31.05,10.27,4274,53.22,488
365,USA,Central,2009,Spring,Chlorination,9.97,7.82,3.71,8.88,30.98,5.46,560,65.31,220
366,Indonesia,Central,2011,Well,Filtration,2.93,7.27,0.86,8.22,43.49,4.2,1809,32.35,280
367,Nigeria,West,2005,Pond,,3.58,7.01,0.16,3.41,28.63,5.91,4387,75.16,390
368,Nigeria,South,2011,Well,Boiling,9.42,7.01,2.26,4.47,21.7,16.96,2932,72.42,376
369,Mexico,North,2022,Spring,Chlorination,7.11,6.57,4.33,6.9,48.72,7.61,290,49.55,213
370,Brazil,North,2013,Lake,,2.96,6.04,0.75,7.79,11.44,5.73,4637,42.57,456
371,Bangladesh,East,2001,Well,Chlorination,5.81,7.44,0.06,3.96,13.14,16.12,1909,35.11,74
372,Brazil,North,2008,Tap,Chlorination,9.44,6.53,0.55,4.71,4.24,0.64,4689,71.11,417
373,China,West,2009,Tap,Boiling,8.12,6.52,1.82,4.35,48.77,11.88,1428,69.82,474
374,Mexico,Central,2016,River,Boiling,7.42,6.31,2.9,4.54,35.32,17.47,947,67.33,241
375,Indonesia,Central,2016,Spring,Chlorination,7.37,6.47,0.97,9.44,0.6,8.2,2527,98.99,149
376,Brazil,Central,2002,Spring,Chlorination,1.78,6.08,4.01,8.01,35.22,5.39,1348,67.21,322
377,India,South,2018,Well,,8.25,7.69,3.77,8.16,20.21,9.83,380,80.53,177
378,Ethiopia,North,2000,Lake,Boiling,2.76,7.0,3.48,8.56,48.38,14.35,1704,37.9,175
379,China,West,2011,Spring,,9.3,7.4,2.44,5.5,13.87,10.33,309,50.93,103
380,USA,South,2006,Well,Filtration,3.65,7.59,1.83,8.37,35.51,0.15,3414,49.28,118
381,Indonesia,East,2003,Well,,8.58,8.43,1.88,9.85,31.37,1.57,1498,70.32,199
382,China,West,2009,Pond,Chlorination,2.66,6.17,2.52,7.89,0.6,14.43,2894,53.16,69
383,Ethiopia,West,2012,Pond,Filtration,5.15,7.04,0.39,5.92,44.26,8.0,660,74.87,56
384,Mexico,West,2001,Spring,,1.07,6.61,3.41,8.01,6.98,15.7,3447,78.31,408
385,Ethiopia,Central,2009,Well,Filtration,6.6,7.19,1.76,9.31,33.18,12.99,2273,32.36,65
386,Nigeria,West,2020,River,Boiling,8.36,8.3,1.12,3.9,38.78,11.63,1497,74.78,399
387,Ethiopia,North,2021,River,,7.18,7.81,1.39,4.86,31.55,18.03,2072,38.18,57
388,Nigeria,West,2024,Pond,,5.23,7.65,0.9,9.44,4.86,0.43,3436,62.56,116
389,Mexico,Central,2003,Spring,Boiling,0.45,7.1,4.51,9.62,48.76,3.1,2142,80.86,424
390,Pakistan,West,2017,Lake,,9.33,7.68,0.85,6.39,11.84,12.49,4660,79.23,306
391,Nigeria,East,2004,River,Filtration,7.05,6.08,4.41,5.62,31.39,1.32,1605,50.99,20
392,USA,East,2018,River,Boiling,7.46,7.47,2.86,4.98,39.86,12.9,4739,49.07,78
393,Ethiopia,Central,2001,Pond,Filtration,7.95,7.38,4.34,6.49,46.96,19.68,1431,60.82,311
394,Ethiopia,North,2011,Pond,,7.48,6.87,2.37,9.54,30.2,17.58,1950,43.21,353
395,USA,North,2016,Spring,,4.41,6.5,4.64,4.05,12.95,11.82,3922,98.23,46
396,India,South,2009,Pond,,7.34,8.02,1.06,5.94,41.83,17.88,458,54.14,373
397,Bangladesh,Central,2001,Tap,,6.25,6.13,2.77,9.38,8.16,2.33,2948,94.61,170
398,Pakistan,West,2005,Well,Filtration,8.54,6.17,0.63,5.44,1.11,9.09,337,93.58,83
399,Indonesia,Central,2007,River,,8.02,7.1,2.24,8.38,45.41,8.57,3943,55.54,107
400,Nigeria,South,2018,Tap,Boiling,0.41,6.63,2.85,5.72,28.77,6.73,2013,47.79,286
401,USA,Central,2010,Lake,Boiling,3.79,7.86,3.03,8.63,3.48,0.0,4020,83.96,270
402,Mexico,Central,2024,Tap,Chlorination,0.35,7.59,1.83,9.87,28.99,17.82,344,46.06,175
403,Nigeria,South,2011,Spring,Boiling,1.02,7.93,0.38,5.71,7.25,15.55,4671,66.49,317
404,Bangladesh,North,2008,Lake,Chlorination,6.01,6.81,3.28,8.92,1.57,13.06,942,37.75,475
405,Mexico,West,2001,Lake,Boiling,8.74,7.85,2.44,9.92,5.83,2.58,345,57.02,69
406,China,South,2007,Pond,Boiling,1.2,8.16,0.68,9.89,38.76,7.56,3894,35.47,386
407,Ethiopia,East,2010,Tap,,4.51,6.86,4.68,6.04,37.78,18.49,3319,49.84,165
408,China,North,2020,Spring,Boiling,9.11,6.85,4.78,6.4,30.22,12.34,3695,76.57,342
409,Nigeria,East,2003,River,,8.14,8.25,4.28,5.12,10.47,12.07,324,99.39,57
410,Bangladesh,North,2009,Pond,,5.2,6.12,4.22,5.2,36.95,18.26,2138,47.84,450
411,Pakistan,West,2020,Tap,Boiling,7.72,6.88,0.49,6.45,20.4,11.2,4389,63.13,244
412,Nigeria,West,2019,River,Filtration,5.23,6.3,4.97,4.4,25.54,11.95,3612,61.36,44
413,USA,Central,2015,Tap,,1.58,6.07,2.0,7.98,44.88,6.91,523,42.89,171
414,Brazil,East,2007,Pond,Boiling,1.25,6.28,0.82,6.75,22.89,7.43,2897,72.7,263
415,Nigeria,North,2003,River,Filtration,1.88,7.08,4.06,9.29,31.32,13.71,3740,80.73,382
416,Ethiopia,West,2009,Pond,Boiling,3.51,7.72,1.13,8.67,48.09,6.41,258,40.31,65
417,Ethiopia,South,2011,Tap,Boiling,9.31,6.72,2.63,5.26,22.57,11.18,1110,83.0,326
418,Nigeria,West,2013,Lake,Filtration,8.0,8.12,0.64,6.54,28.04,5.58,820,79.01,188
419,Mexico,South,2015,Well,Boiling,4.33,7.09,2.37,8.25,29.22,3.32,2788,43.81,272
420,Brazil,North,2021,Lake,,4.93,8.42,2.79,4.35,12.04,9.09,4664,75.43,70
421,USA,West,2017,Pond,Chlorination,2.66,8.39,2.23,3.22,36.85,4.35,4604,57.56,352
422,Nigeria,West,2020,Pond,Chlorination,7.04,7.93,0.35,8.97,36.33,17.97,1563,77.68,35
423,Mexico,North,2021,Pond,Boiling,8.03,8.33,2.42,3.96,10.68,6.07,4620,64.73,238
424,Ethiopia,West,2020,River,Chlorination,2.39,7.77,2.34,9.23,0.67,11.95,1207,33.37,67
425,Ethiopia,South,2011,Spring,Chlorination,0.42,8.24,1.31,9.4,49.95,5.27,308,85.09,107
426,Bangladesh,West,2017,Pond,Chlorination,6.24,6.59,4.61,6.22,29.08,5.16,1839,68.89,207
427,Nigeria,East,2006,Lake,,5.63,6.86,2.09,8.65,9.05,7.01,3352,80.74,276
428,Brazil,Central,2019,Well,,4.02,7.88,4.32,5.54,14.18,18.32,1383,38.83,209
429,India,South,2023,Pond,Chlorination,6.44,7.06,0.55,9.01,30.89,7.83,2306,80.49,301
430,Brazil,East,2022,Pond,Filtration,5.51,8.09,1.59,8.77,6.88,16.43,1180,58.96,429
431,Ethiopia,North,2006,Pond,Filtration,2.51,8.19,0.88,3.55,1.86,3.95,2472,85.95,347
432,Ethiopia,South,2008,River,Filtration,3.98,6.75,2.04,7.08,39.92,0.96,2686,71.94,106
433,China,Central,2000,Pond,,4.28,8.06,0.56,7.48,35.79,15.63,2967,54.84,379
434,Ethiopia,Central,2005,Lake,,8.8,6.39,2.21,3.01,15.48,10.84,4445,44.13,15
435,USA,North,2005,Tap,,9.61,6.84,1.77,9.86,2.92,10.07,960,87.11,238
436,Indonesia,North,2021,Spring,,8.93,7.29,1.12,5.85,24.31,5.44,3456,69.21,405
437,Nigeria,South,2011,Pond,Chlorination,7.19,6.57,3.21,6.62,13.81,1.45,437,99.12,389
438,Brazil,West,2021,River,,5.85,7.45,4.75,4.36,19.89,9.66,455,56.14,221
439,Indonesia,North,2011,Lake,Chlorination,6.89,7.45,1.04,7.28,13.7,17.34,3817,78.0,439
440,Mexico,West,2009,Pond,Filtration,9.39,6.52,3.56,8.67,8.76,2.4,1569,73.6,255
441,India,East,2022,River,Chlorination,2.5,7.99,3.71,7.1,19.35,18.58,1103,74.63,300
442,USA,Central,2005,Tap,Filtration,5.35,7.58,2.49,8.52,48.24,5.49,1618,81.59,441
443,Brazil,West,2016,Well,,6.9,6.79,4.49,8.12,13.31,10.64,3612,39.74,411
444,Indonesia,Central,2018,Pond,Filtration,6.79,6.58,4.83,4.66,16.8,1.33,1512,68.48,144
445,India,West,2017,Lake,Filtration,2.52,8.2,1.81,6.05,16.46,8.5,4738,65.64,163
446,China,East,2005,River,Chlorination,5.87,8.09,3.26,4.04,24.01,2.52,391,53.98,11
447,USA,North,2023,River,Filtration,7.96,6.57,3.31,3.29,42.18,0.96,2621,60.53,49
448,USA,East,2018,Pond,Boiling,4.75,6.09,2.02,3.44,20.11,19.33,920,66.32,314
449,China,North,2009,River,Filtration,7.93,8.01,1.58,9.6,40.31,14.6,2457,52.46,359
450,Nigeria,North,2023,Well,,3.6,7.54,4.67,9.89,5.75,14.38,3600,50.52,11
451,China,Central,2007,River,Filtration,9.39,6.25,3.95,3.66,44.75,1.81,4508,81.68,483
452,USA,East,2020,Spring,Boiling,5.34,7.47,0.57,5.35,9.27,18.59,1788,34.68,189
453,USA,West,2023,Spring,Chlorination,5.96,7.13,0.6,3.8,1.96,9.39,260,51.91,295
454,Indonesia,East,2005,River,Filtration,0.31,7.94,4.61,8.84,7.92,17.05,2013,75.76,92
455,Ethiopia,Central,2020,Pond,Boiling,1.7,6.52,0.41,6.47,9.54,0.25,1335,44.61,129
456,India,North,2024,Spring,,6.33,7.13,3.44,7.35,25.43,5.96,334,70.06,348
457,China,Central,2006,Lake,,4.2,6.39,1.13,6.78,22.5,19.92,2779,51.15,477
458,India,South,2023,Spring,Chlorination,5.08,8.39,0.18,7.97,35.79,8.56,803,89.03,483
459,China,South,2000,River,,0.63,7.95,0.3,5.23,2.55,17.77,2437,54.5,363
460,Mexico,West,2017,Pond,Boiling,8.34,7.84,1.87,3.96,24.89,6.56,2807,46.07,408
461,USA,Central,2023,Tap,Filtration,7.85,7.73,0.39,3.12,16.62,10.51,940,67.11,340
462,Ethiopia,West,2024,Pond,Boiling,1.85,7.06,2.98,6.12,31.54,17.08,3163,39.5,213
463,Indonesia,West,2019,Pond,Chlorination,6.34,8.31,3.24,9.35,2.18,12.12,902,85.82,329
464,Ethiopia,South,2011,Pond,Filtration,8.18,6.18,1.87,5.14,1.75,14.5,3432,77.6,382
465,Ethiopia,West,2015,Lake,Boiling,6.41,8.01,3.71,4.37,21.36,4.58,1268,83.94,286
466,Ethiopia,South,2009,Well,Chlorination,3.1,6.54,2.45,9.48,40.57,3.12,23,57.92,174
467,India,North,2009,River,Chlorination,6.56,6.81,2.15,3.74,33.55,4.61,4652,88.45,443
468,China,Central,2013,Well,Filtration,2.1,7.3,2.03,3.36,0.84,9.86,2748,64.55,200
469,Pakistan,West,2024,Tap,Filtration,3.18,7.96,2.16,9.16,8.92,16.02,2450,36.63,104
470,Mexico,South,2019,Well,,2.4,8.1,4.84,7.91,11.34,7.08,1396,45.68,230
471,Brazil,East,2009,River,,5.57,7.46,3.41,5.95,21.15,11.3,3357,79.77,97
472,Ethiopia,West,2009,River,Filtration,1.08,7.01,1.58,8.27,29.34,16.1,3904,92.75,102
473,Nigeria,North,2024,Tap,,9.33,8.37,3.67,8.19,10.82,4.78,2488,36.66,40
474,India,North,2010,River,Filtration,3.34,6.62,1.65,3.28,19.13,17.66,3666,90.5,433
475,Indonesia,East,2022,Tap,,2.19,8.01,0.63,7.73,29.2,19.06,1757,85.93,150
476,Brazil,South,2001,Tap,Boiling,4.97,7.53,2.38,7.49,19.17,0.78,4977,54.96,267
477,Pakistan,West,2024,River,Chlorination,2.77,6.94,3.76,9.75,7.16,1.18,1878,78.25,326
478,Nigeria,South,2019,Spring,Filtration,5.35,6.0,1.89,9.77,24.58,1.82,2532,43.09,351
479,Pakistan,North,2007,Tap,Filtration,3.49,7.12,4.35,5.64,16.2,15.54,3514,86.94,466
480,Brazil,South,2022,River,Filtration,1.32,6.69,1.93,7.13,43.21,3.79,3773,76.01,277
481,Ethiopia,North,2006,Spring,Boiling,2.66,6.26,1.75,3.99,38.78,14.51,2078,60.72,55
482,Nigeria,South,2007,Tap,Chlorination,4.38,6.19,4.99,3.47,9.51,8.83,4661,90.52,15
483,Pakistan,East,2000,Spring,,0.3,6.87,2.41,6.03,7.63,16.73,2057,39.75,441
484,Indonesia,Central,2020,Lake,,7.71,7.54,4.03,7.83,17.38,16.17,677,89.2,455
485,China,East,2001,Pond,Chlorination,6.22,8.09,4.02,6.97,20.61,19.19,4946,31.67,221
486,USA,East,2017,Lake,,6.01,6.46,4.63,6.01,46.6,5.02,2974,82.72,178
487,China,Central,2014,Spring,Filtration,5.46,7.06,0.42,8.73,15.08,4.58,284,70.14,133
488,Brazil,Central,2000,Tap,Chlorination,5.9,6.98,1.36,8.56,43.38,0.63,2200,78.77,257
489,India,West,2004,River,Boiling,9.35,7.28,3.84,8.12,25.27,8.21,4466,58.86,61
490,USA,West,2001,Well,Chlorination,0.09,8.02,2.81,3.54,44.28,9.18,1840,90.51,481
491,Mexico,East,2019,River,Filtration,0.48,7.38,2.8,8.58,35.1,19.29,1878,51.92,476
492,Indonesia,East,2002,Well,Chlorination,1.91,8.12,0.83,9.44,35.42,16.62,1610,49.25,487
493,Mexico,North,2018,Well,Boiling,1.67,7.3,1.41,3.42,25.94,3.34,3962,51.12,122
494,Nigeria,North,2017,Tap,Boiling,1.81,7.51,2.61,5.81,42.02,15.97,4236,84.21,41
495,USA,West,2021,Spring,Chlorination,6.72,7.09,1.39,9.92,12.72,3.57,3159,64.67,372
496,Mexico,West,2017,River,Chlorination,4.59,8.06,1.05,7.19,45.37,1.56,3498,67.6,372
497,Mexico,North,2013,Spring,,9.92,8.31,0.44,6.6,31.84,16.74,2131,88.22,298
498,Pakistan,North,2023,Lake,,2.27,7.6,0.78,4.24,21.94,19.52,3314,88.34,51
499,China,South,2007,Tap,Filtration,3.11,8.05,3.84,6.96,49.11,1.76,1378,41.32,378
500,Pakistan,South,2011,Tap,,9.84,6.15,3.59,6.07,43.1,16.28,3077,68.48,441
501,USA,North,2020,Lake,Filtration,8.32,8.27,0.23,3.89,38.6,17.18,3014,38.82,403
502,USA,South,2009,River,Filtration,4.7,6.47,1.02,6.25,13.7,2.38,3892,90.8,311
503,Brazil,Central,2022,Pond,Chlorination,5.55,6.64,2.8,4.15,48.69,5.67,1715,88.59,66
504,Pakistan,West,2019,Lake,,8.43,6.13,1.61,8.11,37.15,14.67,452,89.45,58
505,Bangladesh,West,2016,River,Boiling,4.81,8.41,4.12,9.82,30.26,16.15,341,79.34,303
506,China,North,2010,Well,Boiling,2.06,8.13,3.92,6.29,46.09,7.08,392,62.68,34
507,USA,East,2001,Tap,Chlorination,8.28,8.28,4.46,7.43,8.11,3.2,1269,58.33,135
508,Brazil,North,2003,River,Boiling,5.38,8.12,2.81,6.02,6.95,12.97,3050,57.67,498
509,Pakistan,South,2000,Spring,Boiling,1.53,7.2,1.76,3.97,28.19,14.04,4059,34.63,75
510,China,East,2014,Spring,Chlorination,5.06,8.31,3.03,9.79,2.84,10.07,970,96.42,241
511,Pakistan,South,2012,Tap,Boiling,4.13,8.42,0.45,3.91,33.2,2.9,2205,61.52,492
512,Mexico,Central,2007,Lake,Chlorination,8.77,7.26,0.05,3.78,12.04,16.89,4794,95.11,490
513,Brazil,South,2024,Pond,Filtration,1.26,6.44,0.09,6.21,5.95,12.91,165,91.55,287
514,China,Central,2003,Lake,,8.75,7.65,2.04,7.61,20.47,17.38,254,88.0,220
515,Ethiopia,Central,2009,River,Boiling,5.12,8.44,1.14,5.48,23.3,18.66,301,71.18,300
516,Nigeria,South,2018,Lake,Chlorination,4.04,8.18,0.79,4.35,8.52,16.11,3103,37.11,84
517,Nigeria,South,2017,Tap,Boiling,1.62,8.15,3.08,8.73,2.08,19.17,3840,52.67,122
518,China,Central,2004,River,,7.01,8.33,4.98,5.54,20.7,19.09,2556,72.25,194
519,Pakistan,East,2018,Well,Boiling,9.27,8.23,0.89,4.36,37.98,12.39,1505,30.94,101
520,Brazil,Central,2022,Lake,Filtration,3.75,7.94,2.73,5.56,43.71,14.56,1256,32.98,282
521,Nigeria,West,2021,Lake,Chlorination,2.42,7.8,0.6,4.5,4.88,13.99,2262,77.44,374
522,Brazil,Central,2015,Pond,,5.55,6.66,4.67,6.64,26.23,12.42,4340,92.17,2
523,Nigeria,East,2000,River,Filtration,7.96,7.55,1.46,7.68,13.17,0.39,209,89.86,312
524,Mexico,West,2011,Spring,Boiling,0.04,7.3,4.39,8.6,18.73,7.12,3793,41.77,448
